buildingBlocks;selectivity;maxToAverageRatio;averageLatency;averageBandwidth;averageCryptoTime;averageComputeTime;modelSize;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;adaptedFailures;backupToAggregatorsRatio;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalInboundBandwidth;finalOutboundBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;inbound_bandwidth_Querier;outbound_bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;inbound_bandwidth_Aggregator;outbound_bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;inbound_bandwidth_LeafAggregator;outbound_bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;inbound_bandwidth_Contributor;outbound_bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;inbound_bandwidth_Backup;outbound_bandwidth_Backup;name
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;0;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;4772,10;4,19;100,00;585,00;23966720,00;23966720,00;0,00;0,26;0,00;5,00;1,00;1,00;0,00;0,00;149,50;0,00;2920,00;365,00;365,00;747520,00;0,00;1048,58;0,00;46080,00;2560,00;2560,00;5242880,00;0,00;3573,76;0,00;4096,00;4096,00;4096,00;41943040,00;0,00;0,00;0,00;0,00;160,00;160,00;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f0-d4-s0
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;25;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;4775,79;4,91;98,29;676,00;24280064,00;24280064,00;1,01;0,61;0,00;12,00;1,00;1,00;0,00;0,00;167,37;0,00;3325,00;365,00;368,00;1462272,00;0,00;1036,60;0,00;46996,00;2560,00;2574,00;5462016,00;0,00;3571,20;0,00;4096,00;4096,00;4096,00;41635840,00;0,00;0,00;0,00;0,00;160,00;143,00;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f25-d4-s0
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;4854,24;10,18;96,00;1117,00;26191872,00;26191872,00;3,08;5,53;0,00;108,00;1,00;1,00;0,00;0,00;248,12;0,00;5060,00;365,00;375,00;4681728,00;0,00;1032,81;0,00;51757,00;2560,00;2614,00;6393856,00;0,00;3567,79;0,00;4096,00;4096,00;4096,00;41308160,00;0,00;0,00;0,00;0,00;160,00;96,00;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f50-d4-s0
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;75;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;5273,88;74,49;69,68;3332,00;36102144,00;36102144,00;44,12;67,79;0,00;1324,00;1,00;1,00;0,00;0,00;624,93;0,00;13935,00;365,00;383,00;21753856,00;0,00;1021,04;0,00;69287,00;2560,00;2696,00;9521152,00;0,00;3560,12;0,00;4096,00;4096,00;4096,00;40929280,00;0,00;0,00;0,00;0,00;160,00;6,00;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f75-d4-s0
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;90;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;4947,44;15,72;0,00;1981,00;30282752,00;30282752,00;22,94;1,43;0,00;28,00;1,00;1,00;0,00;0,00;442,25;0,00;10372,00;365,00;383,00;12752896,00;0,00;967,55;0,00;61538,00;2560,00;2696,00;8224768,00;0,00;3536,21;0,00;4094,00;4096,00;4096,00;39587840,00;0,00;0,00;0,00;0,00;160,00;6,00;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f90-d4-s0
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;4854,24;10,18;96,00;1117,00;26191872,00;26191872,00;3,08;5,53;0,00;108,00;1,00;1,00;0,00;0,00;248,12;0,00;5060,00;365,00;375,00;4681728,00;0,00;1032,81;0,00;51757,00;2560,00;2614,00;6393856,00;0,00;3567,79;0,00;4096,00;4096,00;4096,00;41308160,00;0,00;0,00;0,00;0,00;160,00;96,00;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m1024-f50-d4-s0
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;19165,32;42,13;95,85;1125,00;105627648,00;105627648,00;3,24;19,46;0,00;95,00;1,00;1,00;0,00;0,00;1045,91;0,00;5347,00;365,00;375,00;20480000,00;0,00;4115,51;0,00;52853,00;2560,00;2620,00;26198016,00;0,00;13984,45;0,00;4096,00;4096,00;4096,00;164577280,00;0,00;0,00;0,00;0,00;160,00;90,00;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m4096-f50-d4-s0
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;16384,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;76183,95;166,24;96,04;1136,00;422412288,00;422412288,00;3,19;80,28;0,00;98,00;1,00;1,00;0,00;0,00;4169,73;0,00;5333,00;365,00;376,00;81821696,00;0,00;16450,18;0,00;52854,00;2560,00;2621,00;104693760,00;0,00;55483,76;0,00;4096,00;4096,00;4096,00;658309120,00;0,00;0,00;0,00;0,00;160,00;88,00;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m16384-f50-d4-s0
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;65536,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;305220,80;710,19;95,85;1187,00;1707802624,00;1707802624,00;3,39;350,62;0,00;107,00;1,00;1,00;0,00;0,00;17403,08;0,00;5579,00;365,00;376,00;355598336,00;0,00;65767,66;0,00;53576,00;2560,00;2627,00;426770432,00;0,00;221699,44;0,00;4096,00;4096,00;4096,00;2633236480,00;0,00;0,00;0,00;0,00;160,00;82,00;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m65536-f50-d4-s0
LFP,Replace,0Resync,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;262144,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;1217245,81;2617,29;96,09;1117,00;6747324416,00;6747324416,00;3,12;1166,54;0,00;89,00;1,00;1,00;0,00;0,00;66453,50;0,00;5310,00;365,00;375,00;1283981312,00;0,00;263063,60;0,00;52910,00;2560,00;2620,00;1677721600,00;0,00;886562,17;0,00;4096,00;4096,00;4096,00;10532945920,00;0,00;0,00;0,00;0,00;160,00;90,00;0,00;0,00;LFP-Replace-0Resync-NonBlocking-m262144-f50-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;3,00;8,00;5,00;0,00;false;1;Success;604,04;3,79;99,80;74,00;3036160,00;3036160,00;1,25;0,26;0,00;5,00;1,00;1,00;0,00;0,00;18,69;0,00;365,00;45,00;45,00;92160,00;0,00;131,23;0,00;5830,00;320,00;325,00;665600,00;0,00;453,87;0,00;551,00;512,00;512,00;5314560,00;0,00;0,00;0,00;0,00;160,00;155,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f50-d3-s1
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;1;Success;4894,68;7,01;99,19;828,00;25390080,00;25390080,00;2,09;2,41;0,00;47,00;1,00;1,00;0,00;0,00;197,07;0,00;3849,00;365,00;374,00;2224128,00;0,00;1057,78;0,00;50313,00;2560,00;2601,00;6053888,00;0,00;3637,42;0,00;4422,00;4096,00;4096,00;42502144,00;0,00;0,00;0,00;0,00;1280,00;1230,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f50-d4-s1
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;5,00;8,00;5,00;0,00;false;1;Success;60789,26;146,83;0,00;59525,00;485465088,00;485465088,00;34,55;134,81;0,00;2633,00;1,00;1,00;0,00;0,00;11263,91;0,00;224559,00;2925,00;4036,00;359964672,00;0,00;11049,37;0,00;1082410,00;20480,00;27902,00;176707584,00;0,00;38341,17;0,00;81593,00;32768,00;32768,00;434257920,00;0,00;0,00;0,00;0,00;10240,00;1707,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f50-d5-s1
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;0;true;0,50;4,00;8,00;5,00;0,00;false;1;Success;4772,10;4,19;100,00;585,00;23966720,00;23966720,00;0,00;0,26;0,00;5,00;1,00;1,00;0,00;0,00;149,50;0,00;2920,00;365,00;365,00;747520,00;0,00;1048,58;0,00;46080,00;2560,00;2560,00;5242880,00;0,00;3573,76;0,00;4096,00;4096,00;4096,00;41943040,00;0,00;0,00;0,00;0,00;1280,00;1280,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f0-d4-s1
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;25;true;0,50;4,00;8,00;5,00;0,00;false;1;Success;4855,21;6,40;99,58;716,00;24878080,00;24878080,00;1,18;2,20;0,00;43,00;1,00;1,00;0,00;0,00;177,97;0,00;3476,00;365,00;371,00;1630208,00;0,00;1055,61;0,00;48512,00;2560,00;2589,00;5748736,00;0,00;3619,42;0,00;4328,00;4096,00;4096,00;42377216,00;0,00;0,00;0,00;0,00;1280,00;1245,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f25-d4-s1
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;1;Success;4894,68;7,01;99,19;828,00;25390080,00;25390080,00;2,09;2,41;0,00;47,00;1,00;1,00;0,00;0,00;197,07;0,00;3849,00;365,00;374,00;2224128,00;0,00;1057,78;0,00;50313,00;2560,00;2601,00;6053888,00;0,00;3637,42;0,00;4422,00;4096,00;4096,00;42502144,00;0,00;0,00;0,00;0,00;1280,00;1230,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f50-d4-s1
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;75;true;0,50;4,00;8,00;5,00;0,00;false;1;Success;7443,90;171,98;0,00;7777,00;55533568,00;55533568,00;99,99;165,89;0,00;3240,00;1,00;1,00;0,00;0,00;1212,32;0,00;24552,00;365,00;494,00;36474880,00;0,00;1345,63;0,00;349275,00;2560,00;3509,00;21221376,00;0,00;4720,07;0,00;9843,00;4096,00;4096,00;53370880,00;0,00;0,00;0,00;0,00;1280,00;202,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f75-d4-s1
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;90;true;0,50;4,00;8,00;5,00;0,00;false;1;Success;7029,52;24,12;0,00;6326,00;50411520,00;50411520,00;34,28;13,16;0,00;257,00;1,00;1,00;0,00;0,00;980,06;0,00;20064,00;365,00;492,00;27095040,00;0,00;1318,12;0,00;131762,00;2560,00;3505,00;20852736,00;0,00;4718,18;0,00;9956,00;4096,00;4096,00;52875264,00;0,00;0,00;0,00;0,00;1280,00;208,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f90-d4-s1
